x,y,z,vx,vy,vz,ax,ay,az,phi,ident
-17921.416,-26994.6406,-13946.7178,3.08461308,-120.083542,73.6404266,-1.34336901,-14.8914366,10.1992455,163456.812,21445
-18437.3477,-26264.5957,-13987.8154,4.10190964,-98.2573624,67.7916794,-0.40199694,-12.3546114,9.14666271,164395.219,21443
-17228.4062,-26354.8672,-13821.9727,26.7649632,-74.2442932,84.3171616,1.73780692,-9.72807503,11.5277061,168861.5,21473
-20032.0586,-24950.6523,-15387.5674,-38.9844398,-67.5005417,-2.50511289,-3.94120884,-8.96562195,1.12960505,176465.141,21234
-18940.0566,-25149.3066,-15374.6787,-22.6861439,-73.3281631,26.2057247,-2.55530906,-8.91590214,3.99795198,179982.625,21403
-19408.8516,-24925.0527,-14723.9668,-19.9601383,-63.0513153,38.8609314,-1.74364281,-8.31569576,5.28174257,173944.547,21238
-20305.2734,-23969.0918,-15362.2227,-26.030798,-56.2899857,-0.119957693,-2.54770708,-7.38834095,1.44868922,182076.734,22086
-19896.0566,-24196.4395,-15302.0088,-15.9228754,-68.1430359,26.5833168,1.69383657,-9.33302021,5.37814617,180195.891,22059
-19813.2852,-24254.0488,-15252.501,-42.8154793,-36.8287582,31.2134285,-4.93565893,-3.48380518,1.82574451,179591.188,22061
-19637.9531,-24115.0957,-15118.293,-5.07097435,-23.1667843,25.8232231,-5.34401226,12.7398977,8.04994106,178838.188,22112
-19649.1211,-24064.6836,-15117.4492,-34.634758,-82.0649109,43.6795235,3.66888309,-31.9761086,4.92438841,179292.469,22063
-19594.5645,-24169.3281,-15040.3457,-24.755434,-54.441246,8.67917061,-5.78226042,-1.10190856,-1.72586977,178817.219,22114
-19521.8379,-24081.5645,-14715.333,-26.7169781,-62.9264183,26.4356899,-3.89648843,5.88230658,-3.44772983,177095.938,22116
-19535.5332,-24027.9844,-14749.002,-13.6696329,-30.9998055,38.138813,2.27956438,-18.89147,11.7069073,177633.141,22118
-20189.75,-25043.6094,-14384.6963,-18.9344215,-73.5595398,32.1590691,-1.79281461,-9.64372349,4.57490349,169862.828,21207
-20044.6973,-24965.2324,-13851.4707,-7.59226561,-69.1941376,44.2066727,-0.509251654,-9.28114986,6.2085638,167226.469,21214
-19476.3496,-24886.3066,-14253.123,-3.41901183,-62.7356758,45.2163239,-0.570144176,-8.42299271,6.20656967,170530.656,21235
-19007.1055,-25437.3535,-14033.8633,0.242895454,-73.2125778,61.7291794,-0.20672074,-9.7372427,8.09357452,166995.5,21237
-18956.6133,-24916.332,-13924.498,5.88918495,-62.2211761,67.07444,0.609199762,-8.19677258,8.55219078,168738.156,21239
-20105.9941,-24425.6309,-14473.7773,-13.1561918,-58.1519585,28.0360985,-1.14907515,-7.66270351,4.16060781,174113.578,22085
-20037.4824,-24443.166,-13695.9443,-3.85973835,-58.6366768,52.1004143,0.147758275,-7.82342482,6.82071018,169440.281,22092
-19356.3867,-24253.5195,-14446.1816,1.6776396,-41.5058289,35.1661072,-0.469319701,-5.65480566,5.32309818,175336.859,22113
-19123.4004,-24266.3418,-14148.0303,-1.60445762,-45.5497208,51.8770943,0.271620929,-6.29349422,6.80523062,173568.25,22117
-17740.1523,-25005.3262,-14829.6904,22.2877312,-59.3496666,62.782177,1.15500283,-7.12394047,8.03367519,181968.016,21407
-18753.9336,-24198.5703,-15143.4844,-8.68134594,-39.9585037,38.5213966,-0.889658689,-5.41255331,4.98513937,183710.438,22281
-17598.2617,-24034.377,-14625.4326,36.5326385,-27.4401131,71.0021744,2.95393944,-3.81416845,8.37510872,184093.766,22285
-18445.541,-24887.2559,-14234.8301,10.0651512,-57.8895149,71.9699402,0.753948212,-7.53995085,8.8201704,173304.781,21458
-18314.6875,-25264.3047,-13707.6211,18.560709,-59.4369659,83.9633026,1.57569754,-8.16362095,10.5471935,167071.688,21457
-17502.7812,-25516.7012,-14214.377,35.5822906,-67.9056015,80.0405197,2.47438622,-8.47839642,10.3716936,174565.391,21460
-18367.9121,-24194.25,-14226.4971,16.4201107,-38.6355171,72.5315933,1.56388021,-5.25998449,8.73838902,176702.734,22336
