x,y,z,vx,vy,vz,ax,ay,az,phi,ident
-25050.9941,-19104.5098,-23613.6797,185.35997,526.470093,-144.389694,-601.440918,-2459.07373,658.751282,-346676.938,9198
-25062.4707,-19115.1973,-23599.4121,-202.56427,117.7052,-241.722153,324.98761,-1577.76453,-1150.67896,-364886.156,8961
-25062.2793,-19113.2539,-23600.1328,-7.35213804,285.768555,130.720215,292.565643,-1742.78357,-923.918457,-364882.094,9006
-25054.2871,-19122.5508,-23594.2344,48.2430611,113.017937,236.374985,-96.5734406,-871.384949,-1394.25708,-370592.438,9059
-25058.5352,-19111.3262,-23596.3398,501.365692,-42.3895721,413.547821,232.098907,-1903.27612,-1002.98712,-356856.906,10856
-25037.9414,-19116.0977,-23599.7891,-190.818405,-17.7920895,-256.737244,-1162.16211,-1467.82495,-475.828186,-353026.5,8805
-25109.5996,-19095.9121,-23625.9004,-32.4396019,378.957733,231.741562,1860.6189,-1624.79004,1008.80341,-262016.594,8876
-25096.2949,-19043.8047,-23639.0352,-502.904572,284.545471,-30.1321411,692.790283,-1246.07361,144.581802,-196868.812,12298
-25118.6328,-19078.7109,-23592.2168,219.27388,-375.37558,-0.826168954,1613.02942,-1005.6507,-168.485901,-232244.953,1711
-25090.0352,-19074.498,-23596.8418,-106.242393,36.3896141,-68.9392319,730.422485,-1460.9259,57.0296707,-266844.344,9131
-25090.7988,-19070.5742,-23597.8477,-13.2502565,77.929512,-29.8831825,716.875488,-1518.22046,194.970673,-260299.844,8735
-25090.125,-19059.9082,-23597.4551,-89.1211853,130.53685,-310.691528,574.621887,-1721.37732,204.184158,-244365.734,9053
-25060.3789,-19077.0859,-23643.6543,-1.66533267,-301.195557,-112.710938,-158.417953,-1634.79517,1125.84985,-243377.125,10817
-25066.9844,-19084.2402,-23609.9551,-157.56308,487.503754,-47.3068237,207.314316,-2479.24219,486.564941,-297064.844,9047
-25053.9277,-19094.4648,-23615.3281,80.0538788,-338.503479,-149.55542,-366.845947,-2667.41357,758.733887,-311109.156,9029
-25058.248,-19059.4922,-23594.3457,-60.145607,-411.797455,42.2174301,-202.552444,-1791.76099,6.91621017,-243265.141,8746
-25101.1133,-19126.8906,-23579.6035,-258.500061,117.779999,104.241653,1444.81421,-34.8152847,-1493.15198,-289338.406,9096
-25109.3984,-19128.9785,-23572.9043,-4.60315609,-330.884399,23.5367737,1331.99463,-56.7904091,-1246.46899,-267080.469,8751
-25140.1855,-19112.9902,-23583.5,61.8877106,497.368866,535.982056,1611.73779,-383.29715,-446.216187,-226198.562,3763
-25125.709,-19109.7148,-23578.2363,-477.656464,-75.8980789,-3.98827362,1483.82068,-679.962097,-874.510986,-244301.047,9194
-25095.9062,-19117.1074,-23568.3848,-640.100281,214.871521,-147.095291,1118.79346,-446.299835,-1572.26782,-276360.875,9188
-25126.8359,-19148.7637,-23564.6855,-109.324341,-229.509506,-112.218987,1313.66504,503.098389,-884.935547,-229192.891,9024
-25112.9629,-19135.5781,-23559.8926,648.772583,-179.861862,-59.756279,1170.38562,149.965454,-1266.70483,-242327.719,10945
-25070.8125,-19137.7441,-23584.9707,206.285889,-74.2060165,-111.676468,1322.53882,609.300415,-2391.21289,-337541.844,8719
-25037.9023,-19146.707,-23582.7539,-324.927399,487.586609,-42.4655609,-512.340271,945.450012,-1707.74939,-334825.438,9135
-25049.7051,-19142.1699,-23582.4961,-233.416382,412.601288,178.66803,-90.6560211,925.927429,-2097.18945,-344746.094,9165
-25054.834,-19133.1406,-23589.1816,-267.819214,-51.1158562,-372.909485,101.174843,189.073044,-2051.45435,-360669.094,8770
-25052.209,-19124.6543,-23564.3672,-8.14944363,1.07829118,146.19664,407.419006,-109.176338,-1997.94763,-314163.781,9009
-25065.1426,-19116.1875,-23591.1445,86.9653091,-477.894409,-341.234192,804.122498,-1334.58423,-1736.19897,-347807.688,8775
